Model,Attack_Type,N,XGB_FPR,IF_FPR,Hybrid_FPR,XGB_Recall,IF_Recall,Hybrid_Recall
V7,Benign,4987,0.24603970322839383,0.2632845398034891,0.3988369761379587,,,
V7,Bot,1500,,,,1.0,0.0,1.0
V7,Brute Force -Web,611,,,,0.3044189852700491,0.46317512274959083,0.5270049099836334
V7,Brute Force -XSS,230,,,,0.1826086956521739,0.49130434782608695,0.6565217391304348
V7,DDOS attack-HOIC,1500,,,,0.49933333333333335,0.0,0.49933333333333335
V7,DDOS attack-LOIC-UDP,1500,,,,1.0,1.0,1.0
V7,DDoS attacks-LOIC-HTTP,1500,,,,0.0,0.0,0.0
V7,DoS attacks-GoldenEye,1500,,,,0.0,0.006666666666666667,0.006666666666666667
V7,DoS attacks-Hulk,1500,,,,0.3313333333333333,0.0,0.3313333333333333
V7,DoS attacks-SlowHTTPTest,1500,,,,0.0,0.0,0.0
V7,DoS attacks-Slowloris,1500,,,,0.16933333333333334,0.7426666666666667,0.7473333333333333
V7,FTP-BruteForce,1500,,,,0.0,0.0,0.0
V7,Infilteration,1467,,,,0.081799591002045,0.1710974778459441,0.24608043626448534
V7,SQL Injection,87,,,,0.034482758620689655,0.27586206896551724,0.3103448275862069
V7,SSH-Bruteforce,1500,,,,0.0,1.0,1.0
V8,Benign,5000,0.0802,0.1574,0.2326,,,
V8,Bot,1500,,,,1.0,0.0,1.0
V8,Brute Force -Web,611,,,,0.06873977086743044,0.4320785597381342,0.49754500818330605
V8,Brute Force -XSS,230,,,,0.19130434782608696,0.4956521739130435,0.6869565217391305
V8,DDOS attack-HOIC,1500,,,,1.0,0.36866666666666664,1.0
V8,DDOS attack-LOIC-UDP,1500,,,,1.0,1.0,1.0
V8,DDoS attacks-LOIC-HTTP,1500,,,,1.0,0.0013333333333333333,1.0
V8,DoS attacks-GoldenEye,1500,,,,1.0,0.009333333333333334,1.0
V8,DoS attacks-Hulk,1500,,,,1.0,0.013333333333333334,1.0
V8,DoS attacks-SlowHTTPTest,1500,,,,1.0,0.4633333333333333,1.0
V8,DoS attacks-Slowloris,1500,,,,1.0,0.2833333333333333,1.0
V8,FTP-BruteForce,1500,,,,1.0,0.7646666666666667,1.0
V8,Infilteration,1500,,,,0.314,0.32066666666666666,0.44066666666666665
V8,SQL Injection,87,,,,0.25287356321839083,0.39080459770114945,0.4827586206896552
V8,SSH-Bruteforce,1500,,,,1.0,1.0,1.0
