Attack_Type,N,IF_flagged,IF_rate
Benign,5000,787,0.1574
Bot,1500,0,0.0
Brute Force -Web,611,264,0.4320785597381342
Brute Force -XSS,230,114,0.4956521739130435
DDOS attack-HOIC,1500,553,0.3686666666666666
DDOS attack-LOIC-UDP,1500,1500,1.0
DDoS attacks-LOIC-HTTP,1500,2,0.0013333333333333
DoS attacks-GoldenEye,1500,14,0.0093333333333333
DoS attacks-Hulk,1500,20,0.0133333333333333
DoS attacks-SlowHTTPTest,1500,695,0.4633333333333333
DoS attacks-Slowloris,1500,425,0.2833333333333333
FTP-BruteForce,1500,1147,0.7646666666666667
Infilteration,1500,481,0.3206666666666666
SQL Injection,87,34,0.3908045977011494
SSH-Bruteforce,1500,1500,1.0
