Model,Attack_Type,N,Min,Mean,Median,P5,P95,Max,Threshold
V7,Benign,4987,0.00012891071673948318,0.00526824127882719,0.00039833819027990103,0.00017534017388243228,0.004249610472470522,0.9991187453269958,0.0010152356699109077
V7,Bot,1500,0.18364927172660828,0.9984576106071472,0.9991187453269958,0.9978646039962769,0.9997802376747131,0.9997802376747131,0.0010152356699109077
V7,Brute Force -Web,611,0.00016928835248108953,0.02004055306315422,0.00034996334579773247,0.00016928835248108953,0.021734487265348434,0.9978698492050171,0.0010152356699109077
V7,Brute Force -XSS,230,0.00016928835248108953,0.08268706500530243,0.0002821777015924454,0.00016928835248108953,0.9907490611076355,0.9991187453269958,0.0010152356699109077
V7,DDOS attack-HOIC,1500,0.00021739513613283634,0.030044054612517357,0.0006352555355988443,0.0004411223344504833,0.14006683230400085,0.4879258871078491,0.0010152356699109077
V7,DDOS attack-LOIC-UDP,1500,0.19050270318984985,0.34242919087409973,0.34544920921325684,0.30007290840148926,0.35813015699386597,0.40152299404144287,0.0010152356699109077
V7,DDoS attacks-LOIC-HTTP,1500,0.00019211719336453825,0.000438740971731022,0.0004088906280230731,0.0002542674192227423,0.0006451107328757644,0.0007750117219984531,0.0010152356699109077
V7,DoS attacks-GoldenEye,1500,0.0001701851433608681,0.00022777986305300146,0.0002030947944149375,0.00018236121104564518,0.0003158609033562243,0.00035724861663766205,0.0010152356699109077
V7,DoS attacks-Hulk,1500,0.00019022206834051758,0.14007525146007538,0.0004246444732416421,0.00028608579305000603,0.9883230328559875,0.9987190961837769,0.0010152356699109077
V7,DoS attacks-SlowHTTPTest,1500,0.0003388813929632306,0.00033891256316564977,0.0003388813929632306,0.0003388813929632306,0.0003388813929632306,0.0003857249685097486,0.0010152356699109077
V7,DoS attacks-Slowloris,1500,0.00025452475529164076,0.0014573743101209402,0.0007661927957087755,0.00025452475529164076,0.0058020069263875484,0.025814114138484,0.0010152356699109077
V7,FTP-BruteForce,1500,0.0003388813929632306,0.0003388813347555697,0.0003388813929632306,0.0003388813929632306,0.0003388813929632306,0.0003388813929632306,0.0010152356699109077
V7,Infilteration,1467,0.00012891071673948318,0.0019872819539159536,0.0002538974804338068,0.00017534017388243228,0.0018315489869564772,0.9919925928115845,0.0010152356699109077
V7,SQL Injection,87,0.00016928835248108953,0.01241909246891737,0.0002746381505858153,0.00018405313312541693,0.0006362739368341863,0.8834784030914307,0.0010152356699109077
V7,SSH-Bruteforce,1500,0.00021007168106734753,0.00022211900795809925,0.00022728466137778014,0.00021007168106734753,0.0002297637693118304,0.0002297637693118304,0.0010152356699109077
V8,Benign,5000,0.001029607723467052,0.20104889571666718,0.1494063138961792,0.0018224474042654037,0.6258118152618408,0.9980847835540771,0.494949494949495
V8,Bot,1500,0.9820116758346558,0.9991360902786255,0.9996101260185242,0.9990202188491821,0.9998207688331604,0.9998207688331604,0.494949494949495
V8,Brute Force -Web,611,0.011773859150707722,0.14259566366672516,0.08299677819013596,0.011773859150707722,0.721866250038147,0.9818723797798157,0.494949494949495
V8,Brute Force -XSS,230,0.011773859150707722,0.38530242443084717,0.3299858570098877,0.09157302230596542,0.9353206157684326,0.9506720900535583,0.494949494949495
V8,DDOS attack-HOIC,1500,0.9872597455978394,0.9985517859458923,0.9994077682495117,0.9899159073829651,0.9997538924217224,0.9997751116752625,0.494949494949495
V8,DDOS attack-LOIC-UDP,1500,0.9981523156166077,0.9984985589981079,0.9985156655311584,0.9983672499656677,0.9985860586166382,0.9987363219261169,0.494949494949495
V8,DDoS attacks-LOIC-HTTP,1500,0.9975287318229675,0.9991499185562134,0.9992914199829102,0.9984447360038757,0.9996190071105957,0.9996309280395508,0.494949494949495
V8,DoS attacks-GoldenEye,1500,0.9857959747314453,0.999478816986084,0.9996891021728516,0.998633086681366,0.9998602867126465,0.9998728036880493,0.494949494949495
V8,DoS attacks-Hulk,1500,0.9978748559951782,0.9993956685066223,0.9997472167015076,0.998702883720398,0.9999046325683594,0.9999145269393921,0.494949494949495
V8,DoS attacks-SlowHTTPTest,1500,0.9996504783630371,0.9999378323554993,0.999946117401123,0.9998698234558105,0.999956488609314,0.999956488609314,0.494949494949495
V8,DoS attacks-Slowloris,1500,0.9944955706596375,0.9994221925735474,0.9995525479316711,0.9985190033912659,0.9997774958610535,0.9997774958610535,0.494949494949495
V8,FTP-BruteForce,1500,0.9997294545173645,0.9999353885650635,0.999946117401123,0.9998798370361328,0.999956488609314,0.999956488609314,0.494949494949495
V8,Infilteration,1500,0.009613079018890858,0.41747966408729553,0.3833353519439697,0.11623941361904144,0.8549860715866089,0.9938263297080994,0.494949494949495
V8,SQL Injection,87,0.035720597952604294,0.32522255182266235,0.21662430465221405,0.07756391912698746,0.8884376287460327,0.9736681580543518,0.494949494949495
V8,SSH-Bruteforce,1500,0.9998843669891357,0.9999306797981262,0.999932050704956,0.9999113082885742,0.999948263168335,0.9999514818191528,0.494949494949495
