Attack_Type,N,Metric,V7,V8,Change,V7_n_detected_or_flagged,V8_n_detected_or_flagged,V7_n_missed,V8_n_missed
Benign,4987,false_positive_rate,0.3988369761379587,0.23320633647483457,-0.16563063966312414,1989,1163,,
Bot,1500,recall,1.0,1.0,0.0,1500,1500,0.0,0.0
Brute Force -Web,611,recall,0.5270049099836334,0.49754500818330605,-0.029459901800327315,322,304,289.0,307.0
Brute Force -XSS,230,recall,0.6565217391304348,0.6869565217391305,0.0304347826086957,151,158,79.0,72.0
DDOS attack-HOIC,1500,recall,0.49933333333333335,1.0,0.5006666666666666,749,1500,751.0,0.0
DDOS attack-LOIC-UDP,1500,recall,1.0,1.0,0.0,1500,1500,0.0,0.0
DDoS attacks-LOIC-HTTP,1500,recall,0.0,1.0,1.0,0,1500,1500.0,0.0
DoS attacks-GoldenEye,1500,recall,0.006666666666666667,1.0,0.9933333333333333,10,1500,1490.0,0.0
DoS attacks-Hulk,1500,recall,0.3313333333333333,1.0,0.6686666666666667,497,1500,1003.0,0.0
DoS attacks-SlowHTTPTest,1500,recall,0.0,1.0,1.0,0,1500,1500.0,0.0
DoS attacks-Slowloris,1500,recall,0.7473333333333333,1.0,0.2526666666666667,1121,1500,379.0,0.0
FTP-BruteForce,1500,recall,0.0,1.0,1.0,0,1500,1500.0,0.0
Infilteration,1467,recall,0.24608043626448534,0.4492160872528971,0.20313565098841174,361,659,1106.0,808.0
SQL Injection,87,recall,0.3103448275862069,0.4827586206896552,0.1724137931034483,27,42,60.0,45.0
SSH-Bruteforce,1500,recall,1.0,1.0,0.0,1500,1500,0.0,0.0
